@relation fences

@attribute grasshealth numeric
@attribute wolfdistance numeric
@attribute sheepdistance numeric
@attribute hassheepoutside {True, False}
@attribute updown {up, down, null}

@data
1,23.38251,35.26926,False,null
0.849197,15.76508,7.947412,False,null
0.8483223,21.86731,7.67047,False,null
1,34.90844,48.46264,False,null
1,31.2687,44.23911,False,null
0.7977662,21.86731,7.380677,False,null
0.7977662,18.28057,1.634632,False,null
0.7977662,10.22437,4.47779,False,null
1,28.06438,42.20517,False,null
0.7491546,15.93868,8.449982,False,null
0.7467586,22.0843,6.521715,False,null
0.6967564,26.66007,6.131546,False,null
0.6967564,15.08167,5.381703,False,null
1,23.24129,42.96126,False,null
1,30.25638,49.83419,False,null
1,27.11901,45.7787,False,null
0.6460923,31.28981,5.501799,False,null
0.6460923,27.58848,1.18987,False,null
1,18.73902,43.35752,False,null
1,23.67264,46.05101,False,null
0.5969517,29.14259,8.534277,False,null
1,22.00264,51.25793,False,null
1,12.23772,39.50146,False,null
0.5460521,40.55691,3.584417,False,null
0.5460521,36.72495,1.447317,False,null
0.5460521,28.96965,7.463207,False,null
1,18.43623,47.78734,False,null
0.4952052,45.35234,4.02893,False,null
0.4952052,41.47575,1.747759,False,null
1,17.1298,47.86935,False,null
1,10.61113,40.63467,False,null
0.4468656,43.7632,7.602041,False,null
0.4351689,46.86801,2.089848,False,null
1,5.122808,46.22767,False,null
1,12.19452,52.52621,False,null
0.3851544,45.40251,2.000278,False,null
1,15.67176,52.95356,False,null
0.3346611,41.14056,2.003192,False,null
0.3346611,33.85308,7.931255,False,null
1,9.892735,46.09769,False,null
1,18.23317,52.43241,False,null
0.2828684,40.36192,4.562239,False,null
0.2828684,35.54761,1.719261,False,null
1,13.94778,45.64885,False,null
1,22.40674,52.10163,False,null
0.2335288,30.48875,8.753881,False,null
0.2326521,36.22708,4.030772,False,null
0.2326521,31.15851,1.73299,False,null
0.2326521,24.24903,7.341731,False,null
1,26.10815,47.60592,False,null
1,17.79274,40.30849,False,null
0.183438,26.92949,9.204257,False,null
0.1825767,20.18789,8.001994,False,null
1,21.86835,46.20284,False,null
1,30.01352,52.81926,False,null
1,20.70728,41.02008,False,null
0.133269,23.63058,9.227427,False,null
0.1323895,28.2065,3.618996,False,null
0.1323895,22.41182,1.794928,False,null
0.1323895,16.28151,8.015473,False,null
1,26.15819,46.21553,False,null
1,34.1379,52.83334,False,null
0,33.2746,8.00166,False,down
0,42.76189,8.899992,True,up
0,46.25575,8.855559,True,down
0,46.75077,3.187077,True,up
0,50.88802,3.924337,True,down
0.05046354,54.33107,8.530117,True,up
0.08421973,50.85795,3.993173,True,up
0,13.68232,1.494448,False,down
0,13.86778,3.496556,False,down
0,38.70467,2.938756,False,up
0,50.28254,6.682875,False,up
0,42.59253,7.812932,False,down
0,41.00934,2.579219,False,down
0,50.4306,2.515713,False,down
0.1610696,55.46367,8.982442,True,up
0.248116,55.29938,9.967208,True,up
0,25.92341,1.385606,False,down
0,39.21622,4.03232,False,down
0.1943221,28.22914,8.952559,True,up
1,51.55211,1.728831,True,up
1,47.30528,1.750822,True,down
0.6200434,44.33334,5.118406,True,up
0,6.217425,3.541334,True,down
0,1.377534,6.452741,True,down
0,25.04614,3.052889,True,down
1,28.6868,10.84847,True,up
1,36.08532,11.63709,True,up
1,28.69076,10.44071,True,down
1,36.08847,10.56314,True,down
0.8178871,28.6868,9.565815,True,up
0.7161894,40.5084,2.325789,True,up
0.6797406,36.08532,8.375349,True,up
0,40.51065,5.053737,True,down
0,60.778,1.408325,True,down
0.1927672,63.86765,14.72449,True,up
0.2268006,55.41315,14.11394,True,up
1,55.41525,2.30763,True,down
1,63.86948,7.923996,True,down
0.7185726,55.41316,3.759452,True,up
0,55.41527,2.506985,True,down
0.09995707,55.41316,8.386416,True,up
0.3013528,55.41527,12.3883,True,down
0.3337028,63.86767,15.23798,True,up
0.3695098,55.41316,13.24972,True,up
1,24.19074,6.572752,True,down
0.4813828,24.18591,6.093775,True,up
0,15.71141,3.927181,True,down
0,24.38449,4.306938,True,down
1,48.4306,5.452523,True,down
0,28.27532,1.482817,False,down
0.3565709,28.2713,13.3282,True,up
0.3934855,25.55022,9.430211,True,up
0.5004309,25.55467,9.289203,True,down
0.5247783,17.25281,16.50961,True,up
0.5808535,25.55022,7.871072,True,up
1,27.55511,4.521029,True,down
0.8839839,19.49846,5.563238,True,down
0.1789266,19.57318,1.959222,True,up
0.1452838,27.74428,6.173317,True,up
0,20.38725,3.602306,True,down
0,28.35781,2.659753,True,down
0.1218172,41.5712,8.122563,True,up
0.1511534,35.45252,14.08192,True,up
1,19.27364,6.093028,True,down
0.7697991,64.54609,4.32609,True,down
0.1663791,63.1165,12.40446,True,up
0.3417702,43.41996,17.51825,True,up
1,32.39675,6.054637,True,down
0.9160098,41.88283,5.428326,True,down
0.3441707,50.45834,4.771026,True,up
0,45.83161,1.560572,True,down
0,57.14694,5.133535,True,down
0,66.23507,2.69291,True,down
0.2365463,7.408253,13.24818,True,up
0.2709596,14.68623,10.01522,True,up
0.6186968,22.02201,17.53838,True,up
0.7585614,34.30223,19.70104,True,down
0.787887,44.42549,12.23713,True,up
0.8471313,41.63667,20.27176,True,up
1,30.3164,4.547092,True,down
0.7878022,33.36444,6.599424,True,down
0.1733573,52.71077,9.566321,True,up
0.2028564,56.19665,18.87718,True,up
1,65.95158,5.057363,True,down
1,62.17297,5.999249,True,down
0.9391648,59.51189,2.542422,True,up
0.8651633,65.80418,5.342793,True,up
0,58.31446,1.365095,True,down
0,66.65807,2.487009,True,down
0,67.91418,5.0206,True,down
0,70.39126,2.08288,True,down
0.15301,56.61245,11.13583,True,up
0.2737018,41.92874,16.91811,True,up
0.4555567,31.53796,12.63517,True,down
0.4811781,21.99626,20.6477,True,up
0.5335764,25.24873,12.9082,True,up
0.8393697,14.62855,22.57259,True,up
1,20.74829,3.957712,True,down
0,44.64157,1.572923,False,down
1,19.4192,7.418324,True,up
1,19.31355,7.78269,True,down
1,38.68131,7.86174,True,down
0.9288065,28.06442,8.37757,True,up
0.8628237,39.48739,1.785972,True,up
0.8318537,48.82503,3.378928,True,up
0,45.3793,2.024236,True,down
0,52.24377,5.088314,True,down
0.08651108,52.3454,6.968162,True,up
0.119746,44.88343,9.015193,True,up
1,12.17616,9.004761,True,down
1,14.28156,6.792984,True,down
0.463576,8.779689,1.600748,True,down
0.1505317,30.42806,4.584547,True,up
0.1917695,30.99461,12.0931,True,up
0.2749239,28.6399,20.97588,True,up
1,22.73954,6.636464,True,down
1,12.95117,8.344961,True,down
0.8760034,14.73184,14.74405,True,up
0.8978016,16.57961,7.960886,True,up
1,47.74546,7.903769,True,down
1,43.41777,7.443783,True,down
0.7658291,43.0054,8.95669,True,up
0.6919532,47.43425,8.313135,True,up
0,54.67604,2.450438,True,down
0,50.98269,3.423191,True,down
0.1300321,54.50191,6.954226,True,up
0.1605041,50.81276,16.58655,True,up
1,14.79554,5.757572,True,down
1,16.89061,6.638982,True,down
0.9320557,16.92991,33.40488,True,up
0.9680703,14.8693,31.70317,True,up
1,47.43019,10.64601,True,down
0.6794303,43.08015,5.649274,True,up
0.640938,47.4284,10.68227,True,up
0,47.43154,3.929505,True,down
0,54.57415,4.209,True,down
0.1074976,54.57196,12.92716,True,up
0.1430614,47.42902,20.45398,True,up
